Country,HE_2000,LE_2000,HE_2005,LE_2005,HE_2010,LE_2010,HE_2015,LE_2015,HE_2020,LE_2020,HE_2021,LE_2021,HE_2022,LE_2022
Germany,2344.354736,77.92682927,3558.213379,78.93170732,4611.421875,79.98780488,4624.625,80.64146341,5930.332031,81.04146341,6503.356445,80.90097561,4595.383911,79.90504065
Ghana,16.27483559,58.195,39.75449371,59.76,71.61212158,61.157,77.74266815,63.175,84.97839355,64.114,58.07250252,63.795,58.07250252,61.69933333
Gibraltar,0.0,81.37,0.0,81.442,0.0,80.958,0.0,80.427,0.0,82.198,0.0,79.329,0.0,80.954
Greece,885.4104004,77.88780488,1935.267578,79.23902439,2564.369385,80.38780488,1481.419678,81.03658537,1675.117065,81.28780488,1708.316821,80.18292683,1708.316821,80.00365854
Greenland,0.0,66.10073171,0.0,68.42243902,0.0,70.29195122,0.0,71.97731707,0.0,71.63682927,0.0,71.14756098,0.0,69.92947154
Grenada,259.3835144,72.783,324.5572205,73.521,366.4102783,74.999,389.3938294,75.013,491.0820618,74.924,366.1653809,74.936,366.1653809,74.36266667
Guam,0.0,74.417,0.0,77.182,0.0,76.879,0.0,76.616,0.0,76.612,0.0,76.656,0.0,76.39366667
Guatemala,83.3463974,67.446,131.9634552,69.168,174.7947388,70.878,233.4156647,72.103,289.1265564,71.797,182.5293625,69.237,182.5293625,70.10483333
Guinea,23.00282097,52.479,19.94359016,54.632,22.87328911,56.72,43.94221878,58.134,46.84191895,59.327,31.32076759,58.892,31.32076759,56.69733333
Guinea-Bissau,21.44510841,50.121,33.62273788,52.249,37.55819321,56.23,52.38645935,59.128,61.43194199,59.999,41.28888817,59.652,41.28888817,56.22983333
Guyana,62.85141754,64.483,85.49252319,65.132,162.9921722,66.743,228.0209503,68.201,378.0621643,68.486,183.4838455,65.673,183.4838455,66.453
Haiti,30.15130806,58.365,25.11820602,60.415,55.5110321,46.019,68.24273682,63.237,44.1798359,64.052,44.64062378,63.192,44.64062378,59.21333333
Honduras,67.67149353,68.662,96.74766541,70.104,163.5370483,71.088,168.9259338,72.487,212.6973114,71.462,253.918045,70.123,160.5829163,70.65433333
"Hong Kong SAR, China",0.0,80.87804878,0.0,81.62926829,0.0,82.97804878,0.0,84.27804878,0.0,85.49756098,0.0,85.49268293,0.0,83.45894309
Hungary,313.1085815,71.24634146,895.2033081,72.64878049,983.1108398,74.20731707,870.5194092,75.56829268,1163.246826,75.56829268,845.037793,74.46585366,845.037793,73.95081301
Iceland,2853.728271,79.65365854,5076.371582,81.50243902,3612.051514,81.89756098,4269.933594,82.46829268,5636.935059,83.06341463,6636.001953,83.11707317,4680.836995,81.9504065
India,18.44899559,62.669,27.49860001,64.996,44.89941788,66.909,58.35064697,69.636,56.62868881,70.15,41.16526985,67.24,41.16526985,66.93333333
Indonesia,15.53566933,66.433,34.40548706,67.649,86.36213684,68.679,97.16175842,69.699,132.9633331,68.808,73.28567696,67.57,73.28567696,68.13966667
"Iran, Islamic Rep.",80.95653534,69.691,173.7969208,71.838,436.1362915,73.069,369.989563,75.124,573.40448,74.832,326.8567581,73.875,326.8567581,73.0715
Iraq,135.9075356,66.817,50.43411255,64.844,143.1274109,67.062,147.7589417,69.44,202.3096771,69.123,135.9075356,70.378,135.9075356,67.944
Ireland,1564.837402,76.53658537,3938.191162,78.94390244,5133.455078,80.74390244,4561.38916,81.45365854,6092.176758,82.55609756,6700.178711,82.10243902,4665.038045,80.38943089
Isle of Man,0.0,74.725,0.0,77.623,0.0,78.983,0.0,78.905,0.0,80.588,0.0,80.525,0.0,78.55816667
Israel,1471.620361,78.95365854,1512.270996,80.15121951,2240.439453,81.60243902,2660.699707,82.05121951,3867.404541,82.64878049,2350.487012,82.5,2350.487012,81.31788618
Italy,1524.239624,79.77804878,2677.552246,80.78292683,3217.682861,82.03658537,2675.671631,82.54390244,3057.04248,82.19512195,3351.47876,82.79512195,2750.611267,81.68861789
Jamaica,194.5874023,70.944,190.9417572,71.044,256.0642395,72.622,285.59729,72.394,325.7205505,71.869,250.5822479,70.5,250.5822479,71.56216667
Japan,2756.243164,81.07609756,2895.206543,81.95512195,4074.339844,82.84268293,3754.916992,83.79390244,4388.095703,84.56,3573.760449,84.44560976,3573.760449,83.11223577
Jordan,161.2351074,71.918,196.4689789,72.932,319.841095,74.0,303.2345276,75.011,298.6446228,75.184,255.8848663,74.256,255.8848663,73.8835
Kazakhstan,49.9469223,65.45,142.3589935,65.86,243.638916,68.45,314.3294067,71.97,341.5420837,71.37,218.3632645,70.23,218.3632645,68.88833333
Kenya,21.40411377,54.411,31.13827515,57.344,58.93074799,60.649,71.3065033,61.892,83.39618683,62.675,53.23516541,61.427,53.23516541,59.733
Kiribati,65.4545517,64.409,131.600174,64.967,132.9489746,65.016,117.2412491,66.059,166.6177216,67.266,122.7725342,67.417,122.7725342,65.85566667
"Korea, Dem. People's Rep.",0.0,60.763,0.0,69.285,0.0,70.419,0.0,72.784,0.0,73.274,0.0,73.284,0.0,69.96816667
"Korea, Rep.",480.2229004,75.9097561,901.3057861,78.16829268,1386.41272,80.11707317,1912.590698,82.02439024,2642.414307,83.42682927,3031.182373,83.52682927,1725.688131,80.52886179
Kosovo,0.0,74.072,0.0,75.616,0.0,77.63,0.0,78.922,0.0,76.567,0.0,76.806,0.0,76.60216667
Kuwait,429.5625305,76.722,727.7044067,76.903,1050.421265,77.982,1235.618896,79.562,1532.560181,76.92,995.1734558,78.673,995.1734558,77.79366667
Kyrgyz Republic,12.25433254,68.55853659,35.29496002,67.95609756,60.76480103,69.3,80.71762848,70.65121951,63.69342041,71.8,50.5450285,71.9,50.5450285,70.02764228
Lao PDR,14.10407162,58.378,17.37983894,60.98,34.58347702,63.973,52.15144348,66.67,68.29194641,68.497,37.30215549,68.061,37.30215549,64.4265
Latvia,181.5707245,70.31463415,440.8097534,71.35609756,689.0772095,73.48292683,775.8643189,74.4804878,1313.354126,75.18536585,680.1352264,73.28292683,680.1352264,73.01707317
Lebanon,426.5579224,73.931,349.5018616,76.273,572.420166,78.156,578.645813,79.229,994.4899902,77.804,584.3231506,75.047,584.3231506,76.74
Lesotho,23.77390099,48.427,41.15412903,43.233,95.65953827,45.596,100.8291016,51.101,107.0990677,54.693,73.70314751,53.062,73.70314751,49.352
Liberia,12.80886555,51.356,28.07880402,56.912,43.90929031,59.433,71.16944885,59.148,56.70612335,60.948,42.53450642,60.747,42.53450642,58.09066667
Libya,254.3153076,70.68,210.6266785,71.592,380.9290161,72.374,281.9570007,71.698,281.9570007,72.472,281.9570007,71.911,281.9570007,71.78783333
Liechtenstein,0.0,76.82682927,0.0,80.66829268,0.0,81.84146341,0.0,82.65609756,0.0,81.65853659,0.0,84.40243902,0.0,81.34227642
Lithuania,217.1761322,72.0195122,438.9326782,71.25365854,805.2244873,73.26829268,920.1997681,74.32195122,1522.168457,74.97804878,1839.901855,74.33902439,957.2672297,73.36341463
Luxembourg,2901.199951,77.87317073,5818.145996,79.43170732,7459.835449,80.63170732,5421.932129,82.29268293,6757.0,82.14390244,7314.370605,82.74878049,5945.414022,80.85365854
"Macao SAR, China",0.0,80.959,0.0,82.033,0.0,83.109,0.0,83.984,0.0,85.184,0.0,85.399,0.0,83.44466667
Madagascar,12.75929451,57.938,16.22141075,60.57,21.36556816,62.873,22.65544319,64.339,17.94573784,65.182,18.18949089,64.485,18.18949089,62.5645
Malawi,7.42061138,44.518,17.35433006,52.044,34.24146271,56.381,35.27587891,61.378,32.9824791,63.717,25.45495243,62.904,25.45495243,56.82366667
